Date,Open,High,Low,Close
31-07-2015,-,-,-,26347.42
03-08-2015,-,-,-,26555.98
04-08-2015,-,-,-,26890.83
05-08-2015,-,-,-,27119.73
06-08-2015,-,-,-,27292.40
07-08-2015,-,-,-,27176.12
10-08-2015,-,-,-,27192.46
11-08-2015,-,-,-,27027.19
12-08-2015,-,-,-,26330.66
13-08-2015,-,-,-,26178.11
14-08-2015,-,-,-,26790.23
17-08-2015,-,-,-,26931.53
18-08-2015,-,-,-,27047.88
19-08-2015,-,-,-,27088.58
20-08-2015,-,-,-,26667.57
21-08-2015,-,-,-,26424.75
24-08-2015,-,-,-,24292.41
25-08-2015,-,-,-,24912.05
26-08-2015,-,-,-,24720.48
27-08-2015,-,-,-,25388.72
28-08-2015,-,-,-,25489.19
31-08-2015,-,-,-,25368.48
01-09-2015,-,-,-,24870.09
02-09-2015,-,-,-,24705.74
03-09-2015,-,-,-,24926.70
04-09-2015,-,-,-,24441.31
07-09-2015,-,-,-,23827.02
08-09-2015,-,-,-,23988.23
09-09-2015,-,-,-,24451.95
10-09-2015,-,-,-,24536.67
11-09-2015,-,-,-,24544.11
14-09-2015,-,-,-,24897.96
15-09-2015,-,-,-,24677.01
16-09-2015,-,-,-,24528.98
18-09-2015,-,-,-,24726.75
21-09-2015,-,-,-,24769.52
22-09-2015,-,-,-,24350.26
23-09-2015,-,-,-,24281.96
24-09-2015,-,-,-,24253.51
28-09-2015,-,-,-,24112.78
29-09-2015,-,-,-,24070.34
30-09-2015,-,-,-,24566.42
01-10-2015,-,-,-,24717.47
05-10-2015,-,-,-,25298.83
06-10-2015,-,-,-,25386.70
07-10-2015,-,-,-,25428.87
08-10-2015,-,-,-,25171.14
09-10-2015,-,-,-,25156.68
12-10-2015,-,-,-,25156.38
13-10-2015,-,-,-,25119.99
14-10-2015,-,-,-,25112.05
15-10-2015,-,-,-,25209.96
16-10-2015,-,-,-,25213.25
19-10-2015,-,-,-,25335.62
20-10-2015,-,-,-,25323.44
21-10-2015,-,-,-,25280.32
23-10-2015,-,-,-,25115.53
26-10-2015,-,-,-,25006.41
27-10-2015,-,-,-,25030.56
28-10-2015,-,-,-,24884.90
29-10-2015,-,-,-,24699.40
30-10-2015,-,-,-,24623.61
02-11-2015,-,-,-,24624.43
03-11-2015,-,-,-,24717.42
04-11-2015,-,-,-,24716.80
05-11-2015,-,-,-,24377.66
06-11-2015,-,-,-,24259.62
09-11-2015,-,-,-,24291.31
10-11-2015,-,-,-,23796.96
11-11-2015,-,-,-,24039.32
13-11-2015,-,-,-,23756.52
16-11-2015,-,-,-,23674.38
17-11-2015,-,-,-,23775.72
18-11-2015,-,-,-,23617.00
19-11-2015,-,-,-,23883.79
20-11-2015,-,-,-,24054.31
23-11-2015,-,-,-,24146.80
24-11-2015,-,-,-,24163.85
26-11-2015,-,-,-,24261.89
27-11-2015,-,-,-,24336.07
30-11-2015,-,-,-,24294.26
01-12-2015,-,-,-,24492.64
02-12-2015,-,-,-,24518.36
03-12-2015,-,-,-,24357.61
04-12-2015,-,-,-,24100.32
07-12-2015,-,-,-,24112.53
08-12-2015,-,-,-,23819.15
09-12-2015,-,-,-,23392.34
10-12-2015,-,-,-,23597.66
11-12-2015,-,-,-,23353.04
14-12-2015,-,-,-,23615.25
15-12-2015,-,-,-,23713.69
16-12-2015,-,-,-,23846.72
17-12-2015,-,-,-,24183.45
18-12-2015,-,-,-,24193.45
21-12-2015,-,-,-,24373.25
22-12-2015,-,-,-,24294.07
23-12-2015,-,-,-,24394.69
24-12-2015,-,-,-,24474.77
28-12-2015,-,-,-,24500.25
29-12-2015,-,-,-,24589.64
30-12-2015,-,-,-,24539.21
31-12-2015,-,-,-,24605.82
01-01-2016,-,-,-,24835.55
04-01-2016,-,-,-,24479.49
05-01-2016,-,-,-,24712.54
06-01-2016,-,-,-,24599.99
07-01-2016,-,-,-,23790.64
08-01-2016,-,-,-,24096.21
11-01-2016,-,-,-,23811.10
12-01-2016,-,-,-,23569.22
13-01-2016,-,-,-,23437.04
14-01-2016,-,-,-,23181.76
15-01-2016,-,-,-,22472.35
18-01-2016,-,-,-,21916.07
19-01-2016,-,-,-,22271.44
20-01-2016,-,-,-,21847.55
21-01-2016,-,-,-,21596.16
22-01-2016,-,-,-,21972.08
25-01-2016,-,-,-,21994.51
27-01-2016,-,-,-,22071.13
28-01-2016,-,-,-,21981.80
29-01-2016,-,-,-,22360.47
01-02-2016,-,-,-,22532.88
02-02-2016,-,-,-,22032.13
03-02-2016,-,-,-,21685.71
04-02-2016,-,-,-,21772.93
05-02-2016,-,-,-,22203.12
08-02-2016,-,-,-,22145.05
09-02-2016,-,-,-,21703.38
10-02-2016,-,-,-,21401.79
11-02-2016,-,-,-,20710.10
12-02-2016,-,-,-,20623.03
15-02-2016,-,-,-,21419.14
16-02-2016,-,-,-,20877.28
17-02-2016,-,-,-,21005.63
18-02-2016,-,-,-,21190.63
19-02-2016,-,-,-,21173.40
22-02-2016,-,-,-,21314.04
23-02-2016,-,-,-,20935.13
24-02-2016,-,-,-,20663.33
25-02-2016,-,-,-,20562.38
26-02-2016,-,-,-,20674.16
29-02-2016,-,-,-,20725.03
01-03-2016,-,-,-,21389.58
02-03-2016,-,-,-,21856.78
03-03-2016,-,-,-,22037.84
04-03-2016,-,-,-,22256.44
08-03-2016,-,-,-,22271.16
09-03-2016,-,-,-,22363.56
10-03-2016,-,-,-,22277.68
11-03-2016,-,-,-,22300.29
14-03-2016,-,-,-,22415.75
15-03-2016,-,-,-,22235.81
16-03-2016,-,-,-,22132.80
17-03-2016,-,-,-,22328.63
18-03-2016,-,-,-,22555.79
21-03-2016,-,-,-,22874.40
22-03-2016,-,-,-,22943.12
23-03-2016,-,-,-,23028.99
28-03-2016,-,-,-,22687.33
29-03-2016,-,-,-,22640.53
30-03-2016,-,-,-,23121.28
31-03-2016,-,-,-,23193.54
01-04-2016,-,-,-,23248.53
04-04-2016,-,-,-,23314.27
05-04-2016,-,-,-,22895.09
06-04-2016,-,-,-,23094.47
07-04-2016,-,-,-,22996.36
08-04-2016,-,-,-,23094.12
11-04-2016,-,-,-,23388.02
12-04-2016,-,-,-,23542.88
13-04-2016,-,-,-,23842.75
18-04-2016,-,-,-,24066.88
20-04-2016,-,-,-,24082.37
21-04-2016,-,-,-,24060.18
22-04-2016,-,-,-,24109.84
25-04-2016,-,-,-,24014.17
26-04-2016,-,-,-,24248.12
27-04-2016,-,-,-,24311.80
28-04-2016,-,-,-,24021.99
29-04-2016,-,-,-,24059.94
02-05-2016,-,-,-,24406.43
03-05-2016,-,-,-,24163.71
04-05-2016,-,-,-,23760.05
05-05-2016,-,-,-,23714.31
06-05-2016,-,-,-,23849.64
09-05-2016,-,-,-,24081.76
10-05-2016,-,-,-,24050.33
11-05-2016,-,-,-,24018.37
12-05-2016,-,-,-,24274.02
13-05-2016,-,-,-,24047.58
16-05-2016,-,-,-,24054.72
17-05-2016,-,-,-,24070.07
18-05-2016,-,-,-,24104.90
19-05-2016,-,-,-,23790.58
20-05-2016,-,-,-,23648.54
23-05-2016,-,-,-,23616.90
24-05-2016,-,-,-,23576.38
25-05-2016,-,-,-,23884.98
26-05-2016,-,-,-,24180.59
27-05-2016,-,-,-,24554.26
30-05-2016,-,-,-,24732.72
31-05-2016,-,-,-,24662.11
01-06-2016,-,-,-,24637.50
02-06-2016,-,-,-,24819.15
03-06-2016,-,-,-,24758.26
06-06-2016,-,-,-,24661.36
07-06-2016,-,-,-,24735.57
08-06-2016,-,-,-,24870.38
09-06-2016,-,-,-,24789.68
10-06-2016,-,-,-,24672.07
13-06-2016,-,-,-,24485.98
14-06-2016,-,-,-,24547.16
15-06-2016,-,-,-,24704.47
16-06-2016,-,-,-,24622.95
17-06-2016,-,-,-,24585.96
20-06-2016,-,-,-,24780.94
21-06-2016,-,-,-,24819.00
22-06-2016,-,-,-,24828.65
23-06-2016,-,-,-,24853.40
24-06-2016,-,-,-,24484.79
27-06-2016,-,-,-,24747.34
28-06-2016,-,-,-,24903.35
29-06-2016,-,-,-,25176.22
30-06-2016,-,-,-,25579.59
01-07-2016,-,-,-,25926.89
04-07-2016,-,-,-,26128.04
05-07-2016,-,-,-,26107.05
07-07-2016,-,-,-,26159.78
08-07-2016,-,-,-,26140.53
11-07-2016,-,-,-,26573.37
12-07-2016,-,-,-,26770.55
13-07-2016,-,-,-,26749.13
14-07-2016,-,-,-,26861.72
15-07-2016,-,-,-,26934.17
18-07-2016,-,-,-,26695.58
19-07-2016,-,-,-,26769.10
20-07-2016,-,-,-,27015.33
21-07-2016,-,-,-,26964.29
22-07-2016,-,-,-,27318.24
25-07-2016,-,-,-,27588.82
26-07-2016,-,-,-,27496.79
27-07-2016,-,-,-,27643.51
28-07-2016,-,-,-,27774.08
29-07-2016,-,-,-,27855.67
01-08-2016,-,-,-,27969.11
02-08-2016,-,-,-,27658.01
03-08-2016,-,-,-,27171.08
04-08-2016,-,-,-,27399.93
05-08-2016,-,-,-,27955.74
08-08-2016,-,-,-,28255.58
09-08-2016,-,-,-,28082.63
10-08-2016,-,-,-,27683.70
11-08-2016,-,-,-,27699.10
12-08-2016,-,-,-,28001.19
16-08-2016,-,-,-,28240.86
17-08-2016,-,-,-,28475.62
18-08-2016,-,-,-,28605.01
19-08-2016,-,-,-,28775.57
22-08-2016,-,-,-,28606.91
23-08-2016,-,-,-,28413.96
24-08-2016,-,-,-,28616.75
25-08-2016,-,-,-,28464.52
26-08-2016,-,-,-,28449.24
29-08-2016,-,-,-,28569.40
30-08-2016,-,-,-,28814.13
31-08-2016,-,-,-,28796.94
01-09-2016,-,-,-,28607.45
02-09-2016,-,-,-,28749.49
06-09-2016,-,-,-,29207.89
07-09-2016,-,-,-,29445.37
08-09-2016,-,-,-,29590.56
09-09-2016,-,-,-,29284.81
12-09-2016,-,-,-,28276.93
14-09-2016,-,-,-,28643.25
15-09-2016,-,-,-,28574.35
16-09-2016,-,-,-,28598.39
19-09-2016,-,-,-,28765.46
20-09-2016,-,-,-,28706.70
21-09-2016,-,-,-,28702.52
22-09-2016,-,-,-,29120.13
23-09-2016,-,-,-,29141.47
26-09-2016,-,-,-,28958.72
27-09-2016,-,-,-,28899.56
28-09-2016,-,-,-,29180.91
29-09-2016,-,-,-,28071.98
30-09-2016,-,-,-,28590.84
03-10-2016,-,-,-,29364.05
04-10-2016,-,-,-,29500.06
05-10-2016,-,-,-,29633.88
06-10-2016,-,-,-,29567.58
07-10-2016,-,-,-,29538.88
10-10-2016,-,-,-,29557.13
13-10-2016,-,-,-,29009.16
14-10-2016,-,-,-,29108.52
17-10-2016,-,-,-,28784.36
18-10-2016,-,-,-,29357.76
19-10-2016,-,-,-,29483.06
20-10-2016,-,-,-,29611.26
21-10-2016,-,-,-,29698.25
24-10-2016,-,-,-,29572.29
25-10-2016,-,-,-,29561.79
26-10-2016,-,-,-,29293.98
27-10-2016,-,-,-,28962.17
28-10-2016,-,-,-,29252.49
01-11-2016,-,-,-,29437.91
02-11-2016,-,-,-,28916.50
03-11-2016,-,-,-,28620.96
04-11-2016,-,-,-,28241.71
07-11-2016,-,-,-,28505.22
08-11-2016,-,-,-,28632.26
09-11-2016,-,-,-,28082.75
10-11-2016,-,-,-,28732.36
11-11-2016,-,-,-,27684.53
15-11-2016,-,-,-,26506.17
16-11-2016,-,-,-,26721.07
17-11-2016,-,-,-,26675.97
18-11-2016,-,-,-,26770.74
21-11-2016,-,-,-,25982.10
22-11-2016,-,-,-,26395.84
23-11-2016,-,-,-,26844.88
24-11-2016,-,-,-,26863.85
25-11-2016,-,-,-,27266.24
28-11-2016,-,-,-,27430.87
29-11-2016,-,-,-,27465.64
30-11-2016,-,-,-,27720.89
01-12-2016,-,-,-,27442.64
02-12-2016,-,-,-,27076.70
05-12-2016,-,-,-,27377.88
06-12-2016,-,-,-,27510.69
07-12-2016,-,-,-,27445.74
08-12-2016,-,-,-,27989.18
09-12-2016,-,-,-,28043.83
12-12-2016,-,-,-,27676.97
13-12-2016,-,-,-,27556.12
14-12-2016,-,-,-,27336.47
15-12-2016,-,-,-,27332.18
16-12-2016,-,-,-,27201.39
19-12-2016,-,-,-,27020.58
20-12-2016,-,-,-,26744.26
21-12-2016,-,-,-,26739.48
22-12-2016,-,-,-,26232.54
23-12-2016,-,-,-,26003.30
26-12-2016,-,-,-,25389.15
27-12-2016,-,-,-,25864.57
28-12-2016,-,-,-,25958.87
29-12-2016,-,-,-,26274.36
30-12-2016,-,-,-,26567.20
02-01-2017,-,-,-,26773.40
03-01-2017,-,-,-,26864.12
04-01-2017,-,-,-,26833.76
05-01-2017,-,-,-,27276.12
06-01-2017,-,-,-,27279.32
09-01-2017,-,-,-,27261.46
10-01-2017,-,-,-,27451.89
11-01-2017,-,-,-,27927.40
12-01-2017,-,-,-,27958.41
13-01-2017,-,-,-,27904.38
16-01-2017,-,-,-,28031.78
17-01-2017,-,-,-,28025.62
18-01-2017,-,-,-,28268.35
19-01-2017,-,-,-,28327.52
20-01-2017,-,-,-,27859.12
23-01-2017,-,-,-,28129.54
24-01-2017,-,-,-,28507.88
25-01-2017,-,-,-,28858.59
27-01-2017,-,-,-,29095.63
30-01-2017,-,-,-,29264.30
31-01-2017,-,-,-,28950.31
01-02-2017,-,-,-,29595.76
02-02-2017,-,-,-,29715.89
03-02-2017,-,-,-,29760.03
06-02-2017,-,-,-,30005.17
07-02-2017,-,-,-,29847.15
08-02-2017,-,-,-,30043.99
09-02-2017,-,-,-,30085.70
10-02-2017,-,-,-,30047.38
13-02-2017,-,-,-,29977.04
14-02-2017,-,-,-,29770.93
15-02-2017,-,-,-,29326.69
16-02-2017,-,-,-,29828.05
17-02-2017,-,-,-,29932.26
20-02-2017,-,-,-,30203.98
21-02-2017,-,-,-,30342.64
22-02-2017,-,-,-,30219.23
23-02-2017,-,-,-,30277.59
27-02-2017,-,-,-,30089.93
28-02-2017,-,-,-,30246.20
01-03-2017,-,-,-,30341.12
02-03-2017,-,-,-,29955.40
03-03-2017,,,,30017.03
06-03-2017,30107.30,30237.63,30089.35,30209.66
07-03-2017,30248.26,30287.68,30093.73,30112.31
08-03-2017,30141.00,30170.65,29736.00,29866.96
09-03-2017,29886.86,29993.85,29796.51,29848.08
10-03-2017,29933.13,30016.33,29691.74,29748.85
14-03-2017,30244.49,30319.52,30021.50,30172.87
15-03-2017,30235.50,30593.14,30228.74,30537.15
16-03-2017,30642.85,30944.56,30642.85,30925.16
17-03-2017,31042.98,31064.56,30719.45,30832.27
20-03-2017,30911.44,30994.07,30735.78,30808.34
21-03-2017,30840.90,30840.90,30473.37,30665.74
22-03-2017,30546.24,30546.24,30263.29,30389.01
23-03-2017,30525.11,30681.23,30511.36,30646.41
24-03-2017,30694.47,30883.65,30648.35,30703.51
27-03-2017,30721.32,30768.96,30495.77,30520.08
28-03-2017,30615.64,30842.18,30593.87,30797.50
29-03-2017,30940.76,30993.11,30820.13,30915.77
30-03-2017,30941.43,31080.80,30864.82,30923.85
31-03-2017,30939.79,31186.33,30921.98,31080.64
03-04-2017,31153.39,31261.14,31091.19,31189.03
05-04-2017,31268.59,31466.60,31199.74,31435.06
06-04-2017,31459.49,31544.99,31333.24,31515.06
07-04-2017,31506.45,31709.21,31340.24,31385.63
10-04-2017,31488.31,31660.39,31420.69,31592.19
11-04-2017,31538.76,31798.52,31522.93,31769.02
12-04-2017,31793.81,31930.93,31418.66,31766.59
13-04-2017,31794.76,31798.41,31578.31,31615.62
17-04-2017,31596.93,31707.10,31483.50,31561.99
18-04-2017,31641.19,31917.22,31242.70,31286.41
19-04-2017,31319.51,31571.96,31204.61,31519.38
20-04-2017,31582.84,31731.56,31526.57,31626.53
21-04-2017,31715.44,31810.25,31546.10,31681.35
24-04-2017,31772.65,32080.07,31743.08,32066.28
25-04-2017,32194.54,32519.28,32194.54,32491.14
26-04-2017,32561.01,32692.76,32207.52,32550.83
27-04-2017,32519.97,32638.71,32421.41,32475.88
28-04-2017,32500.71,32660.93,32416.82,32562.31
02-05-2017,32651.34,32816.19,32415.17,32670.29
03-05-2017,32796.07,32929.82,32559.63,32602.88
04-05-2017,32711.24,32732.40,32527.98,32667.64
05-05-2017,32677.31,32679.98,32020.84,32208.45
08-05-2017,32336.36,32450.97,32266.50,32342.23
09-05-2017,32410.51,32535.95,32284.69,32498.53
10-05-2017,32618.17,32868.69,32616.79,32838.59
11-05-2017,32973.27,33083.17,32875.34,32905.90
12-05-2017,32968.81,32974.65,32549.96,32739.40
15-05-2017,32839.14,33117.91,32839.14,33071.41
16-05-2017,33117.10,33200.94,33049.99,33143.90
17-05-2017,33191.42,33191.42,32983.56,33027.95
18-05-2017,32843.02,32900.25,32260.06,32301.91
19-05-2017,32517.77,32651.73,31829.91,32139.37
22-05-2017,32339.96,32448.33,31709.67,31734.31
23-05-2017,31785.86,31789.57,30935.82,31313.25
24-05-2017,31378.28,31400.87,30636.25,30765.52
25-05-2017,30862.81,31223.91,30754.88,31166.83
26-05-2017,31197.64,31858.78,31152.87,31831.74
29-05-2017,31922.38,32033.41,31364.60,31530.99
30-05-2017,31438.67,31847.15,31221.46,31775.18
31-05-2017,31890.03,32028.28,31786.16,31854.40
01-06-2017,31934.98,31987.83,31803.72,31919.20
02-06-2017,32055.19,32152.18,31953.87,32040.94
05-06-2017,32117.29,32230.07,32048.09,32094.20
06-06-2017,32211.69,32218.65,31786.84,31894.01
07-06-2017,31993.78,32169.75,31983.33,32124.96
08-06-2017,32187.10,32291.36,32108.72,32148.73
09-06-2017,32165.74,32383.21,32008.02,32356.62
12-06-2017,32336.34,32454.82,32160.00,32296.80
13-06-2017,32418.22,32484.39,32209.03,32268.75
14-06-2017,32310.22,32325.55,32013.81,32157.05
15-06-2017,32137.83,32234.29,31975.67,32043.41
16-06-2017,32070.81,32286.36,32051.11,32116.76
19-06-2017,32185.65,32373.39,32170.99,32309.17
20-06-2017,32405.65,32451.48,32260.99,32322.71
21-06-2017,32347.42,32351.30,32197.97,32243.30
22-06-2017,32331.99,32440.36,31940.93,31991.96
23-06-2017,32034.45,32062.19,31437.68,31587.02
27-06-2017,31674.44,31706.67,31074.85,31298.20
28-06-2017,31331.60,31475.40,31118.53,31422.45
29-06-2017,31554.65,31749.74,31488.25,31535.57
30-06-2017,31510.91,31715.97,31357.62,31682.87
03-07-2017,31791.98,32180.65,31781.26,32153.58
04-07-2017,32275.41,32414.84,32050.09,32096.35
05-07-2017,32180.22,32460.09,32101.04,32425.30
06-07-2017,32532.29,32707.39,32516.47,32568.53
07-07-2017,32610.99,32664.06,32495.78,32555.28
10-07-2017,32680.97,32936.10,32670.28,32891.45
11-07-2017,32986.66,33041.19,32601.71,32632.27
12-07-2017,32714.48,32975.27,32695.52,32949.75
13-07-2017,33078.19,33232.79,33013.56,33173.80
14-07-2017,33252.87,33281.79,32990.29,33216.09
17-07-2017,33268.83,33354.32,33164.31,33295.60
18-07-2017,33309.08,33401.52,33076.63,33111.89
19-07-2017,33204.85,33544.90,33201.59,33525.68
20-07-2017,33529.86,33561.38,33272.29,33320.92
21-07-2017,33351.33,33447.05,32992.53,33316.55
24-07-2017,33324.82,33462.16,33306.83,33389.52
25-07-2017,33456.06,33614.55,33372.68,33574.24
26-07-2017,33651.90,33684.85,33487.19,33531.13
27-07-2017,33589.72,33731.62,33284.73,33344.53
28-07-2017,33353.48,33600.56,33214.00,33563.93
31-07-2017,33642.84,33789.91,33561.14,33769.41
01-08-2017,33911.60,33975.42,33782.45,33850.46
02-08-2017,33941.06,33953.41,33656.72,33743.61
03-08-2017,33808.40,33945.09,33601.13,33666.08
04-08-2017,33641.47,34026.76,33470.29,33926.26
07-08-2017,34092.74,34457.49,34026.05,34407.05
08-08-2017,34479.38,34599.45,33872.35,34016.69
09-08-2017,33949.14,34004.50,33415.01,33520.42
10-08-2017,33497.34,33498.47,32177.47,32579.04
11-08-2017,32323.04,32796.06,31916.67,32381.53
14-08-2017,32541.39,33162.66,32541.39,33101.55
16-08-2017,33222.75,33584.63,33039.24,33540.49
17-08-2017,33607.63,33845.95,33392.71,33447.79
18-08-2017,33345.83,33444.91,33057.59,33364.67
21-08-2017,33493.73,33610.83,32745.65,32798.01
22-08-2017,32930.99,33143.19,32591.86,32690.93
23-08-2017,32854.80,33163.77,32788.75,33135.83
24-08-2017,33191.08,33450.04,33143.13,33392.55
28-08-2017,33456.18,33756.09,33456.18,33649.32
29-08-2017,33633.98,33650.59,33243.03,33286.59
30-08-2017,33345.74,33883.08,33345.74,33833.54
31-08-2017,33875.45,33942.74,33744.81,33854.31
01-09-2017,33893.75,34290.87,33893.42,34245.31
04-09-2017,34309.49,34349.12,33581.80,33917.66
05-09-2017,33985.50,34142.38,33882.25,34086.17
06-09-2017,33993.66,34204.45,33807.18,34157.49
07-09-2017,34307.42,34434.96,34271.48,34373.83
08-09-2017,34433.68,34562.27,34099.61,34210.04
11-09-2017,34393.83,34626.78,34388.72,34480.80
12-09-2017,34624.95,34934.80,34623.64,34913.22
13-09-2017,35013.65,35173.05,34711.76,34784.62
14-09-2017,34999.59,35179.61,34799.12,34969.19
15-09-2017,34898.52,34935.41,34633.89,34827.06
18-09-2017,34959.61,35137.46,34918.43,34962.78
19-09-2017,35006.71,35113.93,34882.11,35032.17
20-09-2017,35084.86,35174.60,34934.62,34986.92
21-09-2017,34989.09,35047.10,34413.29,34685.65
22-09-2017,34592.25,34593.89,33603.57,33662.90
25-09-2017,33720.98,33733.42,32781.50,33315.88
26-09-2017,33311.37,33601.26,33161.48,33444.22
27-09-2017,33535.22,33596.25,32670.93,32746.90
28-09-2017,32852.01,33050.35,32569.34,32931.95
29-09-2017,33045.02,33557.89,33041.00,33265.88
03-10-2017,33504.25,33712.90,33391.89,33550.38
04-10-2017,33638.87,33760.38,33563.88,33632.45
05-10-2017,33694.61,33895.83,33688.95,33754.13
06-10-2017,33805.95,34216.14,33804.76,34173.27
09-10-2017,34170.59,34408.12,34078.67,34160.93
10-10-2017,34185.34,34402.88,34181.22,34361.98
11-10-2017,34429.51,34632.25,33952.65,34187.56
12-10-2017,34227.00,34630.59,34109.77,34598.33
13-10-2017,34662.98,34746.66,34604.69,34633.73
16-10-2017,34750.36,34921.27,34661.30,34771.68
17-10-2017,34799.74,35010.26,34708.39,34980.82
18-10-2017,35052.44,35052.44,34795.09,34889.59
19-10-2017,35081.66,35103.01,34606.51,34748.71
23-10-2017,34771.06,35021.25,34743.63,34930.70
24-10-2017,34955.76,35044.74,34879.39,34962.69
25-10-2017,35259.91,35527.59,35147.50,35477.65
26-10-2017,35547.20,35868.61,35498.03,35776.09
27-10-2017,35863.39,35953.64,35730.65,35777.42
30-10-2017,35905.26,36199.85,35901.03,36082.79
31-10-2017,36171.14,36187.51,35802.27,35907.74
01-11-2017,36117.68,36312.72,36092.78,36183.87
02-11-2017,36336.97,36487.14,36164.85,36280.01
03-11-2017,36376.62,36477.00,36171.21,36264.96
06-11-2017,36309.22,36389.80,36161.96,36231.39
07-11-2017,36289.22,36426.87,35588.43,35685.39
08-11-2017,35755.12,35883.59,35271.58,35397.73
09-11-2017,35607.46,35815.78,35228.97,35581.99
10-11-2017,35542.01,35665.39,35315.46,35441.09
13-11-2017,35482.75,35515.99,35160.82,35281.47
14-11-2017,35289.01,35381.09,35148.94,35185.18
15-11-2017,35198.16,35207.06,34583.58,34709.37
16-11-2017,34756.06,35192.82,34744.03,35111.71
17-11-2017,35319.42,35732.85,35319.42,35525.89
20-11-2017,35538.78,35669.55,35395.02,35644.35
21-11-2017,35691.90,35869.61,35557.33,35708.16
22-11-2017,35757.41,35819.91,35423.85,35620.57
23-11-2017,35614.97,35772.95,35431.62,35662.00
24-11-2017,35721.57,35854.96,35698.23,35786.08
27-11-2017,35790.46,35900.32,35604.20,35876.50
28-11-2017,35903.48,36050.17,35774.57,35880.72
29-11-2017,35940.51,36020.43,35749.36,35823.11
30-11-2017,35762.46,35762.46,35420.12,35474.14
01-12-2017,35566.68,35784.73,35002.31,35098.12
04-12-2017,35286.69,35329.23,34813.69,35033.32
05-12-2017,35053.55,35159.91,34788.44,35116.63
06-12-2017,35050.54,35088.36,34685.53,34717.61
07-12-2017,34766.06,35419.53,34766.06,35362.96
08-12-2017,35492.48,35782.32,35492.48,35726.03
11-12-2017,35886.90,35946.28,35714.48,35837.63
12-12-2017,35808.90,35885.32,35390.60,35410.92
13-12-2017,35449.99,35522.55,34937.49,35032.46
14-12-2017,35117.37,35233.99,34784.32,35130.69
15-12-2017,35359.22,35582.42,35359.22,35468.47
